;Palabra;Sentimiento;Valoracion;Stemmed
340;ceño;Triste;-1;ceñ
341;ceñudo;Triste;-1;ceñud
342;Cerbero;Triste;-1;cerber
343;cercar;Triste;-1;cerc
344;cerrar;Triste;-1;cerr
345;cerril;Triste;-1;cerril
346;cesante;Triste;-1;cesant
347;cesar;Triste;-1;ces
348;chancero;Feliz;1;chancer
349;chillar;Triste;-1;chill
350;chillón;Triste;-1;chillon
351;chiquilicuatro;Triste;-1;chiquilicuatr
352;chiste;Feliz;1;chist
353;chistoso;Feliz;1;chistos
354;chocar;Triste;-1;choc
355;choque;Triste;-1;choqu
356;chorrear;Triste;-1;chorr
357;ciclón;Triste;-1;ciclon
358;ciego;Triste;-1;cieg
359;cielo;Feliz;1;ciel
360;cierre;Triste;-1;cierr
361;clamar;Feliz;1;clam
362;clamor;Feliz;1;clamor
363;claudicación;Triste;-1;claudic
364;clausura;Triste;-1;clausur
365;Cloto;Triste;-1;clot
366;coaccionar;Triste;-1;coaccion
367;cobarde;Triste;-1;cobard
368;coco;Triste;-1;coc
369;coito;Feliz;1;coit
370;cojera;Triste;-1;cojer
371;cojo;Triste;-1;coj
372;colisionar;Triste;-1;colision
373;columbario;Triste;-1;columbari
374;comezón;Triste;-1;comezon
375;comicidad;Feliz;1;comic
376;comodidad;Feliz;1;comod
377;compadecer;Triste;-1;compadec
378;compasión;Triste;-1;compasion
379;compasivo;Triste;-1;compas
380;compensación;Feliz;1;compens
381;complacencia;Feliz;1;complacent
382;complacer;Feliz;1;complac
383;complaciente;Feliz;1;complacient
384;completar;Feliz;1;complet
385;compungido;Triste;-1;compung
386;conceder;Feliz;1;conced
387;concupiscencia;Feliz;1;concupiscent
388;condenación;Triste;-1;conden
389;condescendencia;Triste;-1;condescendent
390;condescender;Triste;-1;condescend
391;condolencia;Triste;-1;condolent
392;condolerse;Triste;-1;condol
393;confiado;Feliz;1;confi
394;confianza;Feliz;1;confianz
395;confinamiento;Triste;-1;confin
396;confite;Feliz;1;confit
397;conflictivo;Triste;-1;conflict
398;confort;Feliz;1;confort
399;confundir;Triste;-1;confund
400;confusión;Triste;-1;confusion
401;confuso;Triste;-1;confus
402;congelación;Triste;-1;congel
403;congoja;Triste;-1;congoj
404;conmoción;Triste;-1;conmocion
405;conmovedor;Triste;-1;conmovedor
406;conmover;Triste;-1;conmov
407;conquistador;Feliz;1;conquist
408;consentidor;Feliz;1;consentidor
409;consentimiento;Feliz;1;consent
410;conspicuo;Feliz;1;conspicu
411;consternación;Triste;-1;constern
412;consumado;Triste;-1;consum
413;consunción;Triste;-1;consuncion
414;contentamiento;Feliz;1;content
415;contrariado;Triste;-1;contrari
416;contrariedad;Triste;-1;contraried
417;contratiempo;Triste;-1;contratiemp
418;convencer;Feliz;1;convenc
419;conveniente;Feliz;1;convenient
420;convulsión;Triste;-1;convulsion
421;convulso;Triste;-1;convuls
422;cópula;Feliz;1;copul
423;corito;Triste;-1;corit
424;corregir;Feliz;1;correg
425;cortejo;Triste;-1;cortej
426;corto;Triste;-1;cort
427;crecer;Feliz;1;crec
428;crecimiento;Feliz;1;crecimient
429;cremación;Triste;-1;cremacion
430;cremar;Triste;-1;crem
431;creso;Feliz;1;cres
432;crimen;Triste;-1;crim
433;criminal;Triste;-1;criminal
434;cripta;Triste;-1;cript
435;crisis;Triste;-1;crisis
436;crucifixión;Triste;-1;crucifixion
437;cruel;Triste;-1;cruel
438;crueldad;Triste;-1;crueld
439;cuarentena;Triste;-1;cuarenten
440;cubrir;Feliz;1;cubr
441;cuchilladas;Triste;-1;cuchill
442;cuita;Triste;-1;cuit
443;culminante;Feliz;1;culmin
444;damnificado;Triste;-1;damnific
445;dañado;Triste;-1;dañ
446;dañoso;Triste;-1;daños
447;dealdad;Triste;-1;deald
448;debacle;Triste;-1;debacl
449;débil;Triste;-1;debil
450;debilitamiento;Triste;-1;debilit
451;decadencia;Triste;-1;decadent
452;decaído;Triste;-1;decaid
453;decaimiento;Triste;-1;decaimient
454;decapitación;Triste;-1;decapit
455;decepción;Triste;-1;decepcion
456;deceso;Triste;-1;deces
457;defecto;Triste;-1;defect
458;déficit;Triste;-1;deficit
459;deficitario;Triste;-1;deficitari
460;deformar;Triste;-1;deform
461;defunción;Triste;-1;defuncion
462;degeneración;Triste;-1;degener
463;degollamiento;Triste;-1;degoll
464;degollina;Triste;-1;degollin
465;degradarse;Triste;-1;degrad
466;degüello;Triste;-1;degüell
467;delectación;Feliz;1;delect
468;deleitar;Feliz;1;deleit
469;deletéreo;Triste;-1;deletere
470;delgado;Triste;-1;delg
471;delicia;Feliz;1;delici
472;delicitar;Feliz;1;delicit
473;demonio;Triste;-1;demoni
474;depauperación;Triste;-1;depauper
475;deplorable;Triste;-1;deplor
476;depresión;Triste;-1;depresion
477;depresivo;Triste;-1;depres
478;deprimente;Triste;-1;depriment
479;deprimirse;Triste;-1;deprim
