Palabra;Sentimiento;Valoracion manual
condolencia;Triste;-1
condolerse;Triste;-1
confiado;Feliz;1
confianza;Feliz;1
confiar;Feliz;1
confinamiento;Triste;-1
confinar;Triste;-1
confite;Feliz;1
conflictivo;Triste;-1
conflicto;Triste;-1
confort;Feliz;1
confortable;Feliz;1
confundir;Triste;-1
confusi�n;Triste;-1
confuso;Triste;-1
congelaci�n;Triste;-1
congelar;Triste;-1
congoja;Triste;-1
conmoci�n;Triste;-1
conmocionado;Triste;-1
conmocionar;Triste;-1
conmovedor;Triste;-1
conmover;Triste;-1
conmovido;Triste;-1
conquistador;Feliz;1
consentidor;Feliz;1
consentimiento;Feliz;1
consentir;Feliz;1
conspicuo;Feliz;1
consternaci�n;Triste;-1
consternado;Triste;-1
consternador;Triste;-1
consternar;Triste;-1
consternarse;Triste;-1
consumado;Triste;-1
consumirse;Triste;-1
consunci�n;Triste;-1
contentamiento;Feliz;1
contentar;Feliz;1
contentarse;Feliz;1
contento;Feliz;1
contrariado;Triste;-1
contrariar;Triste;-1
contrariedad;Triste;-1
contratiempo;Triste;-1
convencer;Feliz;1
conveniente;Feliz;1
convulsi�n;Triste;-1
convulsionarse;Triste;-1
convulso;Triste;-1
c�pula;Feliz;1
copular;Feliz;1
corito;Triste;-1
corregir;Feliz;1
cortejo;Triste;-1
corto;Triste;-1
crecer;Feliz;1
crecido;Feliz;1
crecimiento;Feliz;1
cremaci�n;Triste;-1
cremar;Triste;-1
creso;Feliz;1
crimen;Triste;-1
criminal;Triste;-1
cripta;Triste;-1
crisis;Triste;-1
crucifixi�n;Triste;-1
cruel;Triste;-1
crueldad;Triste;-1
cuarentena;Triste;-1
cubrir;Feliz;1
cuchilladas;Triste;-1
cuita;Triste;-1
cuitado;Triste;-1
culminante;Feliz;1
culminar;Feliz;1
damnificado;Triste;-1
damnificar;Triste;-1
da�ado;Triste;-1
da�ar;Triste;-1
da�arse;Triste;-1
da�o;Triste;-1
da�oso;Triste;-1
dealdad;Triste;-1
debacle;Triste;-1
d�bil;Triste;-1
debilidad;Triste;-1
debilitamiento;Triste;-1
debilitante;Triste;-1
debilitar;Triste;-1
debilitarse;Triste;-1
decadencia;Triste;-1
decadente;Triste;-1
deca�do;Triste;-1
decaimiento;Triste;-1
decapitaci�n;Triste;-1
decepci�n;Triste;-1
decepcionado;Triste;-1
decepcionante;Triste;-1
decepcionar;Triste;-1
decepcionarse;Triste;-1
deceso;Triste;-1
defecto;Triste;-1
d�ficit;Triste;-1
deficitario;Triste;-1
deformar;Triste;-1
deforme;Triste;-1
deformidad;Triste;-1
defunci�n;Triste;-1
degeneraci�n;Triste;-1
degenerado;Triste;-1
degollamiento;Triste;-1
degollar;Triste;-1
degollina;Triste;-1
degradarse;Triste;-1
deg�ello;Triste;-1
delectaci�n;Feliz;1
deleitar;Feliz;1
deleite;Feliz;1
deleitoso;Feliz;1
delet�reo;Triste;-1
delgado;Triste;-1
delicia;Feliz;1
delicioso;Feliz;1
delicitar;Feliz;1
demonio;Triste;-1
depauperaci�n;Triste;-1
depauperado;Triste;-1
depauperar;Triste;-1
deplorable;Triste;-1
deplorar;Triste;-1
depresi�n;Triste;-1
depresivo;Triste;-1
deprimente;Triste;-1
deprimirse;Triste;-1
derramar;Triste;-1
derrota;Triste;-1
derrotado;Triste;-1
derrotista;Triste;-1
derrumbarse;Triste;-1
desabrido;Triste;-1
desabrigado;Triste;-1
desabrigar;Triste;-1
desabrigo;Triste;-1
desabrimiento;Triste;-1
Desaconsejar;Triste;-1
desacreditado;Triste;-1
desacuerdo;Triste;-1
desafecto;Triste;-1
desafortunado;Triste;-1
desagradable;Triste;-1
desagradar;Triste;-1
desagradarse;Triste;-1
desagrado;Triste;-1
desahogado;Feliz;1
desahogar;Feliz;1
desahogarse;Feliz;1
desahogo;Feliz;1
desahuciado;Triste;-1
desahuciar;Triste;-1
desahucio;Triste;-1
desairado;Triste;-1
desairar;Triste;-1
desaire;Triste;-1
desalentado;Triste;-1
Desalentador;Triste;-1
desalentar;Triste;-1
desalentarse;Triste;-1
desaliento;Triste;-1
desamor;Triste;-1
desamparado;Triste;-1
desamparar;Triste;-1
desamparo;Triste;-1
desangrar;Triste;-1
desangrarse;Triste;-1
desanimado;Triste;-1
desanimar;Triste;-1
Desanimarse;Triste;-1
des�nimo;Triste;-1
desapacible;Triste;-1
desaparici�n;Triste;-1
desarmado;Triste;-1
desarrollado;Feliz;1
desarrollar;Feliz;1
desarrollo;Feliz;1
desasistencia;Triste;-1
desasistido;Triste;-1
desasistir;Triste;-1
desasosegado;Triste;-1
desasosegar;Triste;-1
desasosiego;Triste;-1
desastre;Triste;-1
desastroso;Triste;-1
desatenci�n;Triste;-1
desatender;Triste;-1
desatendido;Triste;-1
desavenencia;Triste;-1
desavenido;Triste;-1
desavenirse;Triste;-1
desaz�n;Triste;-1
desazonado;Triste;-1
desazonar;Triste;-1
descalabrado;Triste;-1
descalabrar;Triste;-1
descalabro;Triste;-1
descamisado;Triste;-1
descanso;Feliz;1
descarrilamiento;Triste;-1
descarrilar;Triste;-1
descollante;Feliz;1
descollar;Feliz;1
descomposici�n;Triste;-1
descompuesto;Triste;-1
desconforme;Triste;-1
desconocido;Triste;-1
desconsolado;Triste;-1
desconsolador;Triste;-1
desconsolar;Triste;-1
desconsuelo;Triste;-1
descontento;Triste;-1
descorazonado;Triste;-1
descorazonador;Triste;-1
descorazonamiento;Triste;-1
descorazonar;Triste;-1
descorazonarse;Triste;-1
descort�s;Triste;-1
descortes�a;Triste;-1
descoyuntarse;Triste;-1
descuajaringarse;Triste;-1
descuartizamiento;Triste;-1
descuidado;Triste;-1
descuidar;Triste;-1
descuido;Triste;-1
desd�n;Triste;-1
desde�ar;Triste;-1
desde�arse;Triste;-1
desde�oso;Triste;-1
desdibujado;Triste;-1
desdibujar;Triste;-1
desdicha;Triste;-1
desdichado;Triste;-1
desencajarse;Triste;-1
desencantado;Triste;-1
desencantar;Triste;-1
desencanto;Triste;-1
desenfrenado;Feliz;1
desenfrenarse;Feliz;1
desenfreno;Feliz;1
desenga�ado;Triste;-1
desenga�ar;Triste;-1
desenga�arse;Triste;-1
desenga�o;Triste;-1
desenvuelto;Feliz;1
des�rtico;Triste;-1
desertizar;Triste;-1
desesperaci�n;Triste;-1
desesperado;Triste;-1
desesperante;Triste;-1
desesperanza;Triste;-1
desesperanzador;Triste;-1
desesperar;Triste;-1
desfallecer;Triste;-1
desfallecimiento;Triste;-1
desfiguraci�n;Triste;-1
desfigurado;Triste;-1
desfigurar;Triste;-1
desgracia;Triste;-1
desgraciado;Triste;-1
desgraciar;Triste;-1
desguarnecer;Triste;-1
desguarnecido;Triste;-1
deshabitado;Triste;-1
deshabitar;Triste;-1
desheredado;Triste;-1
desierto;Triste;-1
desilusi�n;Triste;-1
desilusionado;Triste;-1
desilusionar;Triste;-1
desilusionarse;Triste;-1
desinter�s;Triste;-1
desinteresarse;Triste;-1
deslealtad;Triste;-1
desligarse;Triste;-1
deslomarse;Triste;-1
deslucido;Triste;-1
deslucimiento;Triste;-1
deslucir;Triste;-1
deslustrado;Triste;-1
Deslustrar;Triste;-1
Deslustre;Triste;-1
Desmoralizaci�n;Triste;-1
desmoralizado;Triste;-1
desmoralizador;Triste;-1
desmoralizarse;Triste;-1
desnutrici�n;Triste;-1
desolaci�n;Triste;-1
desolado;Triste;-1
desolador;Triste;-1
desolar;Triste;-1
desolladura;Triste;-1
despachar;Triste;-1
despechado;Triste;-1
despechar;Triste;-1
despecho;Triste;-1
despejar;Feliz;1
despoblado;Triste;-1
despoblar;Triste;-1
despoblarse;Triste;-1
despojar;Triste;-1
despojos;Triste;-1
desposeer;Triste;-1
despreciado;Triste;-1
despreciar;Triste;-1
despreciarse;Triste;-1
despreciativo;Triste;-1
desprecio;Triste;-1
despreocupaci�n;Feliz;1
despreocupado;Feliz;1
despreocuparse;Feliz;1
desproporci�n;Triste;-1
desproporcionado;Triste;-1
desproporcionar;Triste;-1
destacado;Feliz;1
destacar;Feliz;1
destartalado;Triste;-1
desternillarse;Feliz;1
destrozo;Triste;-1
destrucci�n;Triste;-1
destructivo;Triste;-1
destructor;Triste;-1
destruir;Triste;-1
destruirse;Triste;-1
desvalido;Triste;-1
desvalimiento;Triste;-1
desvelado;Triste;-1
desvelar;Triste;-1
desvelo;Triste;-1
desventaja;Triste;-1
desventura;Triste;-1
desventurado;Triste;-1
desvergonzado;Triste;-1
desvincularse;Triste;-1
deteriorado;Triste;-1
deteriorar;Triste;-1
deterioro;Triste;-1
deuda;Triste;-1
deudor;Triste;-1
devastaci�n;Triste;-1
devastador;Triste;-1
devastar;Triste;-1
dicha;Feliz;1
dichoso;Feliz;1
diezmar;Triste;-1
dif�cil;Triste;-1
dificultad;Triste;-1
dificultoso;Triste;-1
difunto;Triste;-1
dignidad;Feliz;1
dimitir;Triste;-1
din�mico;Feliz;1
dinero;Feliz;1
di�arla;Triste;-1
disconformidad;Triste;-1
discordante;Triste;-1
discordia;Triste;-1
discrepancia;Triste;-1
discrepante;Triste;-1
discrepar;Triste;-1
discusi�n;Triste;-1
disecar;Triste;-1
disecci�n;Triste;-1
disensi�n;Triste;-1
disentir;Triste;-1
disfrutar;Feliz;1
disfrute;Feliz;1
disgustado;Triste;-1
Disgustar;Triste;-1
disgustarse;Triste;-1
disgusto;Triste;-1
disparate;Triste;-1
disputa;Triste;-1
disputar;Triste;-1
distanciado;Triste;-1
distanciamiento;Triste;-1
distanciarse;Triste;-1
distinguido;Feliz;1
distorsi�n;Triste;-1
distorsionado;Triste;-1
distorsionar;Triste;-1
disuadir;Triste;-1
diversi�n;Feliz;1
divertido;Feliz;1
divertirse;Feliz;1
doblegamiento;Triste;-1
doblegarse;Triste;-1
doler;Triste;-1
dolerse;Triste;-1
dolido;Triste;-1
doliente;Triste;-1
dolor;Triste;-1
dolorido;Triste;-1
doloroso;Triste;-1
dominante;Feliz;1
dominar;Feliz;1
dominio;Feliz;1
donar;Triste;-1
donju�n;Feliz;1
drama;Triste;-1
dram�tico;Triste;-1
dramatismo;Triste;-1
dramatizar;Triste;-1
duelo;Triste;-1
dulce;Feliz;1
dulzura;Feliz;1
duro;Triste;-1
edema;Triste;-1
ed�n;Feliz;1
efervescencia;Feliz;1
efervescente;Feliz;1
eficacia;Feliz;1
eficaz;Feliz;1
ejecuci�n;Triste;-1
ejecutar;Triste;-1
ejecutor;Triste;-1
purgatorio;Triste;-1
electrocuci�n;Triste;-1
elevaci�n;Feliz;1
elevado;Feliz;1
elevar;Feliz;1
eliminaci�n;Triste;-1
eliminar;Triste;-1
eliminarse;Triste;-1
eludir;Triste;-1
embalsamado;Triste;-1
embalsamar;Triste;-1
embalsamiento;Triste;-1
embelesado;Feliz;1
embelesador;Feliz;1
embelesar;Feliz;1
embeleso;Feliz;1
embolia;Triste;-1
emborrachar;Feliz;1
embriagador;Feliz;1
embriagar;Feliz;1
embriaguez;Feliz;1
embrutecerse;Triste;-1
emotividad;Triste;-1
emotivo;Triste;-1
empalamiento;Triste;-1
empa�ar;Triste;-1
empaquetadura;Triste;-1
emparedar;Triste;-1
empeorar;Triste;-1
emperrado;Triste;-1
emperrarse;Triste;-1
emp�reo;Feliz;1
empobrecer;Triste;-1
empobrecerse;Triste;-1
empobrecido;Triste;-1
empobrecimiento;Triste;-1
empuje;Feliz;1
empuj�n;Feliz;1
enajenaci�n;Triste;-1
enajenar;Triste;-1
enardecedor;Feliz;1
enardecer;Feliz;1
enardecimiento;Feliz;1
encantador;Feliz;1
encantar;Feliz;1
encanto;Feliz;1
encarado;Triste;-1
encarcelar;Triste;-1
encerrado;Triste;-1
encerrar;Triste;-1
encerrarse;Triste;-1
encierro;Triste;-1
encogerse;Triste;-1
encogido;Triste;-1
encumbrarse;Feliz;1
endeudado;Triste;-1
endeudamiento;Triste;-1
endeudar;Triste;-1
endeudarse;Triste;-1
enemigo;Triste;-1
enemistad;Triste;-1
enemistado;Triste;-1
enemistarse;Triste;-1
enervante;Triste;-1
Enfadado;Triste;-1
enfadar;Triste;-1
enfadarse;Triste;-1
Enfado;Triste;-1
enfadoso;Triste;-1
enfermedad;Triste;-1
enfermo;Triste;-1
enfoscar;Triste;-1
enfrentar;Triste;-1
enfrentarse;Triste;-1
enfriamiento;Triste;-1
enfriarse;Triste;-1
enfurru�arse;Triste;-1
engolosinar;Feliz;1
engorro;Triste;-1
engorroso;Triste;-1
engrandecer;Feliz;1
enloquecedor;Triste;-1
enlutado;Triste;-1
enlutar;Triste;-1
enmendar;Feliz;1
enojadizo;Triste;-1
enojado;Triste;-1
enojar;Triste;-1
enojarse;Triste;-1
enojo;Triste;-1
enojoso;Triste;-1
enorgullecer;Feliz;1
enriquecerse;Feliz;1
ensombrecer;Triste;-1
ensuciar;Triste;-1
enternecedor;Feliz;1
enternecer;Feliz;1
enternecido;Feliz;1
enternecimiento;Feliz;1
enterramiento;Triste;-1
enterrar;Triste;-1
entierro;Triste;-1
entretener;Feliz;1
entretenido;Feliz;1
entretenimiento;Feliz;1
entristecedor;Triste;-1
entristecer;Triste;-1
entristecerse;Triste;-1
entristecido;Triste;-1
enturbiar;Triste;-1
entusiasmado;Feliz;1
entusiasmar;Feliz;1
entusiasmo;Feliz;1
envejecer;Triste;-1
envenenamiento;Triste;-1
envidia;Triste;-1
envidiar;Triste;-1
envidioso;Triste;-1
epic�reo;Feliz;1
epidemia;Triste;-1
Erinnias;Triste;-1
ermita�o;Triste;-1
er�tico;Feliz;1
erotismo;Feliz;1
escabechina;Triste;-1
escacharrar;Triste;-1
escalar;Feliz;1
escalofriante;Triste;-1
escalofr�o;Triste;-1
escasez;Triste;-1
escaso;Triste;-1
escatolog�a;Triste;-1
escatol�gico;Triste;-1
